Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Bl_01.pdf;120205;Heinz;Werntges;601;"05.11.2020 22:16";Praktikumsaufgaben/Bl_01.pdf
Bl_02.pdf;60264;Heinz;Werntges;421;"12.11.2020 16:14";Praktikumsaufgaben/Bl_02.pdf
Bl_03.pdf;93009;Heinz;Werntges;441;"19.11.2020 13:55";Praktikumsaufgaben/Bl_03.pdf
Bl_04.pdf;116548;Heinz;Werntges;362;"26.11.2020 16:14";Praktikumsaufgaben/Bl_04.pdf
Bl_05.pdf;121475;Heinz;Werntges;375;"03.12.2020 17:39";Praktikumsaufgaben/Bl_05.pdf
Bl_06.pdf;70750;Heinz;Werntges;454;"11.12.2020 09:53";Praktikumsaufgaben/Bl_06.pdf
ITMZ_Einrichten_Thunderbird_per_IMAP_S_v2.pdf;898890;Heinz;Werntges;120;"19.11.2020 13:28";Praktikumsmaterial/ITMZ_Einrichten_Thunderbird_per_IMAP_S_v2.pdf
meineErsteDatei;127;Heinz;Werntges;233;"02.11.2020 16:51";Praktikumsmaterial/meineErsteDatei
meineZweiteDatei;528;Heinz;Werntges;118;"02.11.2020 16:53";Praktikumsmaterial/meineZweiteDatei
uebung3.tar.gz;115482;Heinz;Werntges;177;"19.11.2020 13:02";Praktikumsmaterial/uebung3.tar.gz
uebung6.tar.gz;18786;Heinz;Werntges;219;"11.12.2020 09:53";Praktikumsmaterial/uebung6.tar.gz
unix_ka.pdf;1465476;Heinz;Werntges;96;"06.11.2020 16:11";Praktikumsmaterial/unix_ka.pdf
unix_sb.pdf;793511;Heinz;Werntges;63;"06.11.2020 16:11";Praktikumsmaterial/unix_sb.pdf
unix_tb.pdf;663981;Heinz;Werntges;70;"06.11.2020 16:10";Praktikumsmaterial/unix_tb.pdf
UNIXReferenzkarte.pdf;79730;Heinz;Werntges;111;"02.11.2020 16:54";Praktikumsmaterial/UNIXReferenzkarte.pdf
vi_mini_tut.txt;5288;Heinz;Werntges;153;"02.11.2020 16:53";Praktikumsmaterial/vi_mini_tut.txt
vim_tutor.txt;25439;Heinz;Werntges;146;"02.11.2020 16:53";Praktikumsmaterial/vim_tutor.txt
viReferenzkarte.pdf;74333;Heinz;Werntges;189;"02.11.2020 16:53";Praktikumsmaterial/viReferenzkarte.pdf
Bl_07.pdf;74612;Heinz;Werntges;343;"19.12.2020 00:03";"Theoretische Übungen/Bl_07.pdf"
Bl_08.pdf;51574;Heinz;Werntges;265;"08.01.2021 23:07";"Theoretische Übungen/Bl_08.pdf"
Bl_09.pdf;42147;Heinz;Werntges;272;"15.01.2021 15:54";"Theoretische Übungen/Bl_09.pdf"
Bl_10.pdf;74415;Heinz;Werntges;274;"21.01.2021 19:17";"Theoretische Übungen/Bl_10.pdf"
Bl_11.pdf;53565;Heinz;Werntges;241;"29.01.2021 00:34";"Theoretische Übungen/Bl_11.pdf"
Bl_12.pdf;62855;Heinz;Werntges;209;"05.02.2021 00:39";"Theoretische Übungen/Bl_12.pdf"
Bl_13.pdf;49345;Heinz;Werntges;85;"11.02.2021 16:49";"Theoretische Übungen/Bl_13.pdf"
00_Organisatorisches.pdf;94133;Heinz;Werntges;251;"05.11.2020 23:52";Vorlesungsfolien/00_Organisatorisches.pdf
01_Einfuehrung.pdf;1874769;Heinz;Werntges;382;"05.11.2020 23:53";Vorlesungsfolien/01_Einfuehrung.pdf
02_Grundbegriffe.pdf;471727;Heinz;Werntges;300;"20.11.2020 01:02";Vorlesungsfolien/02_Grundbegriffe.pdf
03_Repräsentierung.pdf;974857;Heinz;Werntges;423;"03.12.2020 22:36";Vorlesungsfolien/03_Repräsentierung.pdf
04_Codierung.pdf;524120;Heinz;Werntges;339;"18.12.2020 00:01";Vorlesungsfolien/04_Codierung.pdf
05_Schaltnetze-werke.pdf;467443;Heinz;Werntges;167;"28.01.2021 00:58";Vorlesungsfolien/05_Schaltnetze-werke.pdf
06_Architektur.pdf;1206701;Heinz;Werntges;114;"05.02.2021 00:39";Vorlesungsfolien/06_Architektur.pdf
99_Vorlesungsübungen.pdf;89304;Heinz;Werntges;138;"19.12.2020 00:47";Vorlesungsfolien/99_Vorlesungsübungen.pdf
